ClbWaveGap	ClbWavePhase	ClbPhaseMode	ClbWaveTaper	ClbWaveTemperature	ClbXpos	ClbZpos	ClbUndCenter	ClbWaveBx	ClbDeltaBx	ClbWaveBz	ClbDeltaBz	ClbPhaseError	ClbPeaksBxTaper	ClbPeaksBzTaper	ClbWaveIx	ClbWaveIz	ClbWaveI2x	ClbWaveI2z	ClbFundEng	ClbLambdaL	ClbWaveMultiVDip	ClbWaveVQuad	ClbWaveVSex	ClbWaveVOct	ClbWaveMultiHDip	ClbWaveHQuad	ClbWaveHSex	ClbWaveHOct	ClbWaveCoilI1	ClbWaveCoilI2	ClbWaveCoilI3	ClbWaveCoilI4	ClbOutFileInt	ClbOutFileFld	ClbPhaseIntegral
200.00	4	0	0.000	23	12	-1	0.855328	0.056368	0.0348	0.556493	0.0123	5.95	10.34	-22.76	0.193	-0.007	0.389	0.053	2329.799	5.3194e-10	1.68	212.54	523.30	-4.8e+02	-4.02	-269.65	931.02	6e+03	-1.8751	-1.5049	0.7939	0.3149	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1116.017
200.00	5	0	0.000	23	12	-1	0.8551	0.062400	0.0320	0.500873	0.0124	6.13	8.72	-12.41	0.214	0.006	0.395	0.003	2506.350	4.9439e-10	2.79	212.03	520.91	-5.1e+02	-2.22	-272.81	967.62	6.1e+03	-1.8089	-1.7342	0.4967	0.5205	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	919.790
200.00	6	0	0.000	23	12	-1	0.854948	0.070128	0.0290	0.440848	0.0130	6.14	6.30	-2.90	0.234	-0.011	0.399	-0.009	2710.969	4.5695e-10	1.08	207.11	516.05	-4.8e+02	0.02	-266.38	963.77	6.1e+03	-1.7617	-1.9227	0.4693	0.4538	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	724.389
200.00	7	0	0.000	23	12	-1	0.843917	0.079661	0.0381	0.374700	0.0644	6.22	0.44	-6.77	0.214	-0.009	0.398	-0.022	2930.244	4.2276e-10	1.25	203.89	522.56	-4.5e+02	-1.60	-264.16	905.18	5.9e+03	-1.6554	-1.9060	0.4671	0.5688	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	545.071
200.00	8	0	0.000	23	12	-1	0.844078	0.091813	0.0361	0.312243	0.0731	6.40	-3.98	-11.73	0.218	0.018	0.402	-0.044	3138.654	3.9449e-10	3.75	205.97	520.39	-4.7e+02	-1.86	-269.05	980.17	6.1e+03	-1.6980	-1.9064	0.2715	0.7652	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	397.159
200.00	9	0	0.000	23	12	-1	0.844544	0.105457	0.0354	0.261157	0.0817	6.91	-2.57	-19.01	0.183	-0.007	0.389	-0.055	3303.411	3.7481e-10	1.36	203.75	523.89	-4.6e+02	-4.89	-270.88	953.90	6e+03	-1.4179	-1.9106	0.3943	0.7722	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	294.189
200.00	10	0	0.000	23	12	-1	0.845392	0.111745	0.0426	0.230732	0.0860	7.74	1.76	-47.31	0.122	-0.014	0.375	-0.046	3388.304	3.6553e-10	0.70	207.49	519.71	-4.8e+02	-10.80	-274.63	939.20	6e+03	-1.2019	-1.6809	0.5934	0.8480	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	245.626
200.00	11	0	0.000	23	12	-1	0.846382	0.102281	0.0605	0.238464	0.0756	9.33	10.69	-71.44	0.040	-0.019	0.356	-0.044	3371.347	3.6755e-10	0.31	205.17	527.30	-4.6e+02	-19.09	-274.66	958.46	6e+03	-0.8943	-1.3958	0.8078	1.0070	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	255.438
200.00	0	0	0.000	23	-12	-1	0.851236	0.024615	0.0790	0.649740	0.0115	3.05	-15.23	-3.94	0.289	-0.226	-0.131	0.319	2042.416	6.0629e-10	-25.95	201.54	-621.77	-26	3.61	281.72	90.24	-4.9e+03	-0.8250	-0.1227	0.9547	-3.4132	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1508.735
200.00	1	0	0.000	23	-12	-1	0.850875	0.025443	0.0767	0.643676	0.0145	3.27	-17.62	-19.17	0.259	-0.232	-0.127	0.356	2063.442	6.0014e-10	-26.59	198.67	-622.13	-3.6	1.29	274.56	58.38	-4.7e+03	-0.8701	0.0760	1.2260	-3.4834	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1476.280
200.00	2	0	0.000	23	-12	-1	0.850525	0.027083	0.0722	0.621494	0.0143	3.47	-16.61	-9.43	0.247	-0.242	-0.124	0.320	2120.927	5.8405e-10	-27.34	207.05	-617.69	-85	-0.46	278.76	78.92	-4.8e+03	-0.6610	-0.0797	1.1686	-3.3356	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1391.881
200.00	3	0	0.000	23	-12	-1	0.850191	0.030033	0.0658	0.593590	0.0142	3.66	-14.84	-4.43	0.224	-0.245	-0.117	0.310	2215.581	5.5935e-10	-27.94	199.12	-619.94	3.1	-2.41	280.43	92.21	-4.8e+03	-0.5615	-0.0827	1.2295	-3.2225	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1262.277
200.00	4	0	0.000	23	-12	-1	0.849882	0.034144	0.0597	0.553324	0.0151	4.03	-14.20	-22.26	0.233	-0.231	-0.115	0.280	2348.071	5.2819e-10	-26.45	201.94	-613.37	-12	-2.18	290.87	129.01	-5e+03	-0.5314	-0.1815	1.0299	-3.0656	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1098.822
200.00	5	0	0.000	23	-12	-1	0.849616	0.039624	0.0532	0.499308	0.0150	4.60	-13.02	-10.86	0.203	-0.241	-0.108	0.282	2518.107	4.9284e-10	-27.14	205.46	-615.75	-15	-4.48	277.88	85.51	-4.7e+03	-0.4277	-0.1412	1.1848	-3.0058	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	913.643
200.00	6	0	0.000	23	-12	-1	0.854915	0.047325	0.0476	0.440981	0.0131	5.07	-16.36	-0.13	0.181	-0.253	-0.105	0.245	2718.859	4.5657e-10	-28.42	206.68	-605.22	-36	-5.33	270.65	43.37	-4.5e+03	-0.1738	-0.2841	1.1620	-2.8374	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	723.845
200.00	7	0	0.000	23	-12	-1	0.843815	0.057767	0.0483	0.374884	0.0671	5.59	-13.54	3.38	0.177	-0.255	-0.101	0.238	2938.126	4.2256e-10	-28.74	210.48	-600.05	-67	-7.42	283.28	139.06	-4.9e+03	-0.1434	-0.3209	1.1657	-2.7927	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	544.790
200.00	8	0	0.000	23	-12	-1	0.843888	0.072168	0.0430	0.309588	0.0767	5.99	-17.05	8.02	0.226	-0.229	-0.103	0.240	3156.146	3.9331e-10	-25.96	209.17	-601.75	-59	-1.33	267.89	67.86	-4.5e+03	-0.3950	-0.3456	0.9184	-2.8468	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	391.264
200.00	9	0	0.000	23	-12	-1	0.84425	0.091083	0.0377	0.250792	0.0907	6.55	-23.67	3.74	0.274	-0.237	-0.115	0.237	3340.007	3.7165e-10	-26.75	204.47	-597.97	-22	3.72	264.61	50.51	-4.5e+03	-0.4556	-0.4995	0.7642	-3.0426	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	277.462
200.00	10	0	0.000	23	-12	-1	0.845057	0.109103	0.0360	0.209064	0.1027	6.96	-24.03	3.11	0.332	-0.237	-0.136	0.238	3453.351	3.5946e-10	-26.79	208.08	-608.07	-36	8.88	268.84	70.82	-4.6e+03	-0.5684	-0.6008	0.5361	-3.2775	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	213.702
